"ID","RoleID","UserName","Password","DateCreated","DateUpdated","DateDeleted"
1,4,"charlene.avent","E38AD214943DAAD1D64C102FAEC29DE4AFE9DA3D","2016-03-06 07:42:01.011",,
2,2,"milton.jacquemin","2AA60A8FF7FCD473D321E0146AFD9E26DF395147","2016-05-24 07:27:41.414","2016-05-24 07:27:41.414","2016-05-24 07:27:41.414"
3,9,"karan.crisler","1119CFD37EE247357E034A08D844EEA25F6FD20F","2018-04-30 07:29:03.033",,
4,9,"tova.hibdon","A1D7584DAACA4738D499AD7082886B01117275D8","2014-07-07 07:45:44.444","2014-07-07 07:45:44.444",
5,1,"florine.bloss","EDBA955D0EA15FDEF4F61726EF97E5AF507430C0","2014-09-27 08:08:19.191",,"2014-09-27 08:08:19.191"
6,10,"jackeline.haynie","6D749E8A378A34CF19B4C02F7955F57FDBA130A5","2016-05-15 07:25:40.404","2016-05-15 07:25:40.404",
7,4,"branda.pompey","330BA60E243186E9FA258F9992D8766EA6E88BC1","2018-07-07 07:20:35.353",,
8,3,"hester.portier","A8DBBFA41CEC833F8DD42BE4D1FA9A13142C85C2","2018-03-11 08:42:11.111",,
9,3,"kori.pichon","024B01916E3EAEC66A2C4B6FC587B1705F1A6FC8","2014-12-09 07:25:38.383",,
10,5,"margo.mauney","F68EC41CDE16F6B806D7B04C705766B7318FBB1D","2013-08-18 07:25:40.404",,
11,2,"zelma.shealy","DDF6C9A1DF4D57AEF043CA8610A5A0DEA097AF0B","2013-07-02 08:26:58.585",,"2013-07-02 08:26:59.595"
12,3,"tula.norrell","10C28F9CF0668595D45C1090A7B4A2AE98EDFA58","2013-12-29 07:07:11.111",,
13,3,"rolando.wadkins","D505832286E2C1D2839F394DE89B3AF8DC3F8C1F","2018-06-28 07:23:09.099","2018-06-28 07:23:09.099",
14,7,"sanda.kluge","89F747BCED37A9D8AEE5C742E2AEA373278EB29F","2014-01-08 08:34:47.474",,
15,5,"lillian.gregorich","BD021E21C14628FAA94D4AAAC48C869D6B5D0EC3","2017-01-04 07:53:45.454",,
16,4,"katharina.dare","3DE778E515E707114B622E769A308D1A2F84052B","2013-11-24 08:42:18.181","2013-11-24 08:42:18.181","2013-11-24 08:42:18.181"
17,3,"lowell.ballentine","B9C3D15C70A945D9E308AC763DD254B47C29BC0A","2017-10-28 07:10:16.161",,
18,8,"michelle.smithwick","E7369527332F65FE86C44D87116801A0F4FBE5D3","2014-10-10 07:37:42.424","2014-10-10 07:37:42.424",
